sample_name,Assey_Type,AvgSpotLen,Bases,BioProject,BioSample,Size,Colection_Date,Consent,Experiment,ScientificName,Specie,Zootechnic_mangement,Flowering_type,Contry,Continent,City,Latitud,Longitud,Model,LibraryName,LibrarySource,SRAStudy,Platform,ID,LibraryLayout,CenterName,Notas
Melli_40,WGS,not provided,11.132.990.816,PRJNA1235305,SAMN47325574,not provided,12/04/2022,non-public,not provided,honey metagenome,Melipona beecheii,Beehive box,Multifloral,Mexico,America,Jose Maria Morelos,19.748972,88.700889,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671087,PAIRED,not provided,
Melli_41,WGS,not provided,10.049.399.414,PRJNA1235305,SAMN47325575,not provided,12/04/2022,non-public,not provided,honey metagenome,Melipona beecheii,Mixed honey,Multifloral,Mexico,America,Jose Maria Morelos,19.748972,88.700889,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671086,PAIRED,not provided,
Melli_42,WGS,not provided,10.635.306.292,PRJNA1235305,SAMN47325576,not provided,18/04/2022,non-public,not provided,honey metagenome,Melipona beecheii,Jobon,Multifloral,Mexico,America,Jose Maria Morelos,19.748972,88.700889,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671085,PAIRED,not provided,
Melli_45,WGS,not provided,10.778.553.348,PRJNA1235305,SAMN47325577,not provided,30/05/2022,non-public,not provided,honey metagenome,Melipona beecheii,Beehive box,Multifloral,Mexico,America,Mani,20.385292,89.393053,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671084,PAIRED,not provided,
Melli_46,WGS,not provided,10.278.059.016,PRJNA1235305,SAMN47325578,not provided,30/05/2022,non-public,not provided,honey metagenome,Melipona beecheii,Jobon,Multiflora,Mexico,America,Mani,20.385292,89.393053,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671083,PAIRED,not provided,
Melli_47,WGS,not provided,10.512.334.912,PRJNA1235305,SAMN47325579,not provided,30/05/2022,non-public,not provided,honey metagenome,Melipona beecheii,Mixed honey,Multiflora,Mexico,America,Mani,20.385292,89.393053,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671082,PAIRED,not provided,
Scapto_23,WGS,not provided,10.584.257.118,PRJNA1235305,SAMN47325580,not provided,14/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Beehive box,Multifloral,Mexico,America,Atzalan,19.901583,97.144056,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671081,PAIRED,not provided,
Scapto_43,WGS,not provided,11.382.852.026,PRJNA1235305,SAMN47325581,not provided,14/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Cantaro,Multifloral,Mexico,America,Atzalan,19.901583,97.144056,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671095,PAIRED,not provided,
Scapto_51,WGS,not provided,11.670.950.362,PRJNA1235305,SAMN47325582,not provided,14/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Mixed honey,Multifloral,Mexico,America,Atzalan,19.901583,97.144056,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671094,PAIRED,not provided,
Scapto_89,WGS,not provided,10.795.256.666,PRJNA1235305,SAMN47325583,not provided,09/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Cantaro,Multifloral,Mexico,America,Papantla,20.362611,97.242417,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671093,PAIRED,not provided,
Scapto_90,WGS,not provided,11.146.031.478,PRJNA1235305,SAMN47325585,not provided,09/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Mixed honey,Multifloral,Mexico,America,Papantla,20.362611,97.242417,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671091,PAIRED,not provided,
Scapto_91,WGS,not provided,11.330.001.422,PRJNA1235305,SAMN47325584,not provided,09/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Beehive box,Multifloral,Mexico,America,Papantla,20.362611,97.242417,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671092,PAIRED,not provided,
Scapto_92,WGS,not provided,11.330.001.422,PRJNA1235305,SAMN47325586,not provided,11/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Beehive box,Multifloral,Mexico,America,Tenochtitlan,19.838639,96.936694,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671090,PAIRED,not provided,
Scapto_93,WGS,not provided,10.009.738.056,PRJNA1235305,SAMN47325587,not provided,11/05/2022,non-public,not provided,honey metagenome,Scaptotrigona mexicana,Mixed honey,Multifloral,Mexico,America,Tenochtitlan,19.838639,96.936694,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671089,PAIRED,not provided,
SRR27931704,WGS,302,5697274998,PRJNA1074714,SAMN39880875,2036066464,18/10/2021,public,SRX23588786,honey,Spanish_PDO,not colected,not colected,Spain,Europe, Granada,37.177846,-3.599193,Illumina NovaSeq 6000,10,METAGENOMIC,SRP489180,ILLUMINA,H19,PAIRED,DAIRY RESEARCH INSTITUTE OF ASTURIAS- SPANISH NATIONAL RESEARCH COUNCIL (IPLA-CSIC),
SRR27931705,WGS,302,4395825628,PRJNA1074714,SAMN39880874,1561536444,18/10/2021,public,SRX23588785,honey,Spanish_PDO,not colected,not colected,Spain,Europe, Granada,37.177846,-3.599193,Illumina NovaSeq 6000,9,METAGENOMIC,SRP489180,ILLUMINA,H18,PAIRED,DAIRY RESEARCH INSTITUTE OF ASTURIAS- SPANISH NATIONAL RESEARCH COUNCIL (IPLA-CSIC),
